Name, Github, Language, Licence, README
assemble, assemble/assemble, Javascript, MIT, README.md
Cactus, koenbok/Cactus, Python, BSD, README.md
daux.io, justinwalsh/daux.io, Php, MIT, README.md
docPad, docpad/docpad, CoffeeScript, MIT, README.md
Expose, Jack000/Expose, Perl, MIT, readme.md
harp, sintaxi/harp, Javascript, MIT, README.md
hexo, hexojs/hexo, Javascript, MIT, README.md
high_voltage, thoughbot/high_voltage, Ruby, MIT, README.md
hugo, spf13/hugo, Go, Apache Licence, README.md
hyde, hyde/hyde, Python, MIT, README.rst
jekyll, jekyll/jekyll, Ruby, MIT, README.markdown
metalsmith, segmentio/metalsmith, Javascript, MIT, Readme.md
middleman, middleman/middleman, Ruby, MIT, README.md
mkdocs, mkdocs/mkdocs, Python, BSD, README.md
nanoc, nanoc/nanoc, Ruby, MIT, README.md
pelican, getpelican/pelican, Python, GPL3, README.rst
punch, laktek/punch, Javascript, MIT, README.md
roots, jenius/roots, Javascript, MIT, readme.md
sphinx, sphinx-doc/sphinx, Python, BSD, README.rst
toto, cloudhead/toto, Ruby, MIT, README.md
wheat, creationix/wheat, Javascript, MIT, README.markdown
wintersmith, jnordberg/wintersmith, CoffeeScript, MIT, README.md
